cluster,appliance,parameter,value
0,security_lamp,power,8.883074
0,security_lamp,number,1.326868437563338
0,security_lamp,func_time,720.0
0,security_lamp,w1_start,1127.5356076355245
0,indoor_lamp,power,4.128761
0,indoor_lamp,number,2.2068979724926896
0,indoor_lamp,func_time,121.14467769271542
0,indoor_lamp,w1_start,960.0
0,indoor_lamp,w1_end,1260.0
0,indoor_lamp,func_cycle,68.19102011153036
0,evening_boost,power,12.615439
0,evening_boost,func_time,206.83804120229752
0,evening_boost,w1_start,1065.0
0,evening_boost,w1_end,1274.992114002643
0,evening_boost,func_cycle,100.33765732724298
0,evening_late,power,3.822221
0,evening_late,func_time,30.0
0,evening_late,w1_start,1322.2015001088857
0,evening_late,w1_end,1440.0
0,evening_late,func_cycle,129.05053518959878
0,phone_charger,power,10.411415
0,phone_charger,number,1.0
0,phone_charger,func_time,516.001162049894
0,phone_charger,func_cycle,253.7379198390987
0,TV,power,14.442351
0,TV,number,1.0
0,TV,occasional_use,0.14789673318880564
0,TV,func_time,64.16480828172395
0,TV,w1_start,1110.0
0,TV,w1_end,1440.0
0,TV,func_cycle,10.0
0,daytime_device,power,23.277056
0,daytime_device,number,1.0
0,daytime_device,occasional_use,0.9
0,daytime_device,func_time,98.21699819937037
0,daytime_device,w1_start,360.0
0,daytime_device,w1_end,1049.3714941793075
0,daytime_device,func_cycle,10.0
1,security_lamp,power,10.002702
1,security_lamp,number,1.3506532257796797
1,security_lamp,func_time,720.0
1,security_lamp,w1_start,1125.0
1,indoor_lamp,power,12.610938
1,indoor_lamp,number,1.6062919603969303
1,indoor_lamp,func_time,111.41922856150478
1,indoor_lamp,w1_start,1040.6696173689797
1,indoor_lamp,w1_end,1305.0
1,indoor_lamp,func_cycle,113.61003497596506
1,evening_boost,power,2.172325
1,evening_boost,func_time,155.42327343375496
1,evening_boost,w1_start,1076.1857131858565
1,evening_boost,w1_end,1319.1630805842774
1,evening_boost,func_cycle,119.06777987607926
1,evening_late,power,0.2
1,evening_late,func_time,44.4370822043054
1,evening_late,w1_start,1274.5629177956946
1,evening_late,w1_end,1320.0
1,evening_late,func_cycle,165.35009235860133
1,phone_charger,power,1.425556
1,phone_charger,number,1.0
1,phone_charger,func_time,148.6178447284333
1,phone_charger,func_cycle,42.260976112095584
1,TV,power,3.087505
1,TV,number,1.0
1,TV,occasional_use,0.3141429818502151
1,TV,func_time,138.61243760751836
1,TV,w1_start,1155.0
1,TV,w1_end,1440.0
1,TV,func_cycle,155.3781557439055
1,daytime_device,power,23.242043
1,daytime_device,number,1.0
1,daytime_device,occasional_use,0.5409813351874642
1,daytime_device,func_time,82.32378246792669
1,daytime_device,w1_start,360.0
1,daytime_device,w1_end,1200.0
1,daytime_device,func_cycle,10.0
2,security_lamp,power,9.782611
2,security_lamp,number,1.5897560149849221
2,security_lamp,func_time,720.0
2,security_lamp,w1_start,1124.1057814357782
2,indoor_lamp,power,6.356678
2,indoor_lamp,number,2.6786759020733113
2,indoor_lamp,func_time,320.09299508188025
2,indoor_lamp,w1_start,960.0
2,indoor_lamp,w1_end,1395.0
2,indoor_lamp,func_cycle,95.56666170025719
2,evening_boost,power,71.845433
2,evening_boost,func_time,53.073132021601104
2,evening_boost,w1_start,1064.0897400200934
2,evening_boost,w1_end,1323.6085425523636
2,evening_boost,func_cycle,10.0
2,evening_late,power,1.674063
2,evening_late,func_time,80.36781425636696
2,evening_late,w1_start,1246.2755944303324
2,evening_late,w1_end,1350.0
2,evening_late,func_cycle,187.4527027782915
2,phone_charger,power,30.373135
2,phone_charger,number,1.0
2,phone_charger,func_time,598.2213362030984
2,phone_charger,func_cycle,222.4618843602827
2,TV,power,11.13488
2,TV,number,1.0
2,TV,occasional_use,0.5975153967668202
2,TV,func_time,80.09331525615589
2,TV,w1_start,1110.0
2,TV,w1_end,1260.0
2,TV,func_cycle,67.5
2,daytime_device,power,25.473717
2,daytime_device,number,1.0
2,daytime_device,occasional_use,0.8256828367599084
2,daytime_device,func_time,324.43809651840485
2,daytime_device,w1_start,360.0
2,daytime_device,w1_end,1044.222225532279
2,daytime_device,func_cycle,10.0
3,security_lamp,power,7.107933
3,security_lamp,number,1.823229447581882
3,security_lamp,func_time,720.0
3,security_lamp,w1_start,1133.231505716939
3,indoor_lamp,power,0.547414
3,indoor_lamp,number,3.9455858777567587
3,indoor_lamp,func_time,218.33865224552028
3,indoor_lamp,w1_start,1076.0014554848358
3,indoor_lamp,w1_end,1295.340107730356
3,indoor_lamp,func_cycle,128.46750328701535
3,evening_boost,power,20.61574
3,evening_boost,func_time,54.24359380365358
3,evening_boost,w1_start,1063.1253073452629
3,evening_boost,w1_end,1302.095909242384
3,evening_boost,func_cycle,10.0
3,evening_late,power,3.195764
3,evening_late,func_time,66.54456503823576
3,evening_late,w1_start,1311.6019507053375
3,evening_late,w1_end,1379.1465157435732
3,evening_late,func_cycle,80.36748692570897
3,phone_charger,power,11.653192
3,phone_charger,number,1.0
3,phone_charger,func_time,323.5271877522992
3,phone_charger,func_cycle,265.1538392264558
3,TV,power,14.733193
3,TV,number,1.0
3,TV,occasional_use,0.2314915782829564
3,TV,func_time,238.97199568547455
3,TV,w1_start,1020.0280043145254
3,TV,w1_end,1350.0
3,TV,func_cycle,199.4155941104318
3,daytime_device,power,17.937449
3,daytime_device,number,1.0
3,daytime_device,occasional_use,0.337038826455876
3,daytime_device,func_time,225.0
3,daytime_device,w1_start,437.4578923515026
3,daytime_device,w1_end,1121.390226910445
3,daytime_device,func_cycle,10.0
